index,Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Filled Trip Seconds,Trip Day Of Week,Trip Month,Time Of Day,Average Velocity (miles/h),Distance to nearest Bus Stop (in Miles),ID,Total Population,Number of female,Share Of Female,Share of People Over 65,Median Age,Household,Date Only,Date,Average Temperature (°F),Average Humidity (%),Average Wind Speed (mph),Average Pressure (in),Total Precipitation (in)
87150,35893b33b3922d756751324efdba50a49fbe0be6,2021-01-23,2021-01-23 00:15:00,1.6,070200,832600,5.0,0.0,3.14,8.14,False,1.0,41.9290776551,-87.6462934762,41.9147473049,-87.6540070286,388.0,Saturday,1,Night,0.01484536082474227,0.17576303372438423,070200,4019.0,1804.0,0.44886787758148794,0.06742970888280667,30.2,2321.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
485521,3d071d0f55283d09d78c8d4af7ea948c23aeaf29,2021-01-23,2021-01-23 00:00:00,1.9,070200,832500,7.5,0.0,3.1,10.6,False,1.0,41.9290776551,-87.6462934762,41.9218774613,-87.6640782395,367.0,Saturday,1,Night,0.018637602179836513,0.17576303372438423,070200,4019.0,1804.0,0.44886787758148794,0.06742970888280667,30.2,2321.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
2249073,5e3d6bc6f4a8ccca4faedbd92f29c80a8bfb75b3,2021-01-23,2021-01-23 00:15:00,6.5,070200,832900,10.0,0.0,3.1,13.1,False,1.0,41.9290776551,-87.6462934762,41.8741766252,-87.6618611238,1016.0,Saturday,1,Night,0.023031496062992127,0.17576303372438423,070200,4019.0,1804.0,0.44886787758148794,0.06742970888280667,30.2,2321.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
189731,377717e5a5aa18d7355390332babfefe9928e729,2021-01-23,2021-01-23 00:00:00,2.5,071300,243500,10.0,0.0,3.1,13.1,False,1.0,41.9217783562,-87.6414597588,41.8926581076,-87.6525344838,580.0,Saturday,1,Night,0.015517241379310345,0.01086674954379377,071300,4129.0,1997.0000000000005,0.48365221603293784,0.10777427948655849,32.1,2250.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
731531,41a6138322e879d0b08f5e47443c0cd37271f029,2021-01-23,2021-01-23 00:15:00,5.2,071300,281900,20.0,0.0,1.23,21.23,False,1.0,41.9217783562,-87.6414597588,41.8792550844,-87.642648998,751.0,Saturday,1,Night,0.02492676431424767,0.01086674954379377,071300,4129.0,1997.0000000000005,0.48365221603293784,0.10777427948655849,32.1,2250.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1618645,525c4bd698cc6f2050975e2fb9a9bae9e9dfc9f2,2021-01-23,2021-01-23 00:15:00,1.3,071300,080300,5.0,0.0,3.1,8.1,False,1.0,41.9217783562,-87.6414597588,41.9074919303,-87.6357600901,285.0,Saturday,1,Night,0.01642105263157895,0.01086674954379377,071300,4129.0,1997.0000000000005,0.48365221603293784,0.10777427948655849,32.1,2250.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
498675,3d45501d5c1232a0c841c359bc68bfbe5edceea4,2021-01-23,2021-01-23 00:15:00,2.2,063400,080300,5.0,0.0,3.1,8.1,False,1.0,41.9346591566,-87.6467297286,41.9074919303,-87.6357600901,555.0,Saturday,1,Night,0.014270270270270271,0.019116164685910646,063400,2435.0,1312.0,0.5388090349075976,0.0188911704312115,26.6,1418.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
873382,44534dcb140f87cc55b0606b894e835bb512a65d,2021-01-23,2021-01-23 00:00:00,1.0,063400,062100,5.0,0.0,3.1,8.1,False,1.0,41.9346591566,-87.6467297286,41.9426918444,-87.6517705068,267.0,Saturday,1,Night,0.01348314606741573,0.019116164685910646,063400,2435.0,1312.0,0.5388090349075976,0.0188911704312115,26.6,1418.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1732820,548531b72b0789644c3993e2313f6a9453495fde,2021-01-23,2021-01-23 00:00:00,4.6,070500,081800,7.5,0.0,3.1,10.6,False,1.0,41.9289459041,-87.6608925701,41.8932163595,-87.6378442095,553.0,Saturday,1,Night,0.02994575045207956,0.03458153021208539,070500,3185.0,1465.0,0.4599686028257457,0.1456828885400314,35.6,1422.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
2506535,631a9c51049df6bd4fadf134fac631c6892c5c30,2021-01-23,2021-01-23 00:00:00,1.1,070500,063400,5.0,0.0,3.1,8.1,False,1.0,41.9289459041,-87.6608925701,41.9346591566,-87.6467297286,223.0,Saturday,1,Night,0.017757847533632288,0.03458153021208539,070500,3185.0,1465.0,0.4599686028257457,0.1456828885400314,35.6,1422.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
3197232,701bb2c62d4f74d23b3f041d7d024fcd9cd0a7b5,2021-01-23,2021-01-23 00:15:00,2.5,440201,710800,10.0,0.0,1.23,11.23,False,1.0,41.7482105124,-87.6100749663,41.7478369814,-87.6488131191,504.0,Saturday,1,Night,0.017857142857142856,0.014002535338696945,440201,6096.0,3552.9999999999995,0.5828412073490813,0.15321522309711286,37.0,2891.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1959599,58ca20b79e137127d896c9bf1ca37769e06f1356,2021-01-23,2021-01-23 00:00:00,1.2,032100,062200,5.0,0.0,3.1,8.1,False,1.0,41.9581548757,-87.6530217894,41.9425851797,-87.6566440918,268.0,Saturday,1,Night,0.016119402985074627,0.005430146042562405,032100,7279.0,3817.0000000000005,0.5243852177496909,0.08160461601868388,34.2,4591.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
2944021,6b5940c481d67dc8d3c9d3fa7b885d3b1800ce4c,2021-01-23,2021-01-23 00:15:00,1.7,010600,030102,5.0,0.0,3.1,8.1,False,1.0,42.0062788614,-87.6676836101,41.9934409461,-87.6574177422,441.0,Saturday,1,Night,0.013877551020408163,0.01299287207136228,010600,6379.0,3382.0,0.5301771437529393,0.09374510111302713,39.1,3173.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
131781,36614ce37c6725cd4c12bb065bac400311125a37,2021-01-23,2021-01-23 00:15:00,2.0,081402,839100,7.5,0.0,3.1,10.6,False,1.0,41.8919715078,-87.6129454143,41.8809944707,-87.6327464887,613.0,Saturday,1,Night,0.011745513866231648,0.05693867487669947,081402,5942.0,2734.0,0.4601144395826321,0.140356782228206,35.3,4344.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
872960,44510d33eae89309d6e1bc8102be6cfef18f3c7b,2021-01-23,2021-01-23 00:15:00,3.3,081402,242200,10.0,0.0,3.1,13.1,False,1.0,41.8919715078,-87.6129454143,41.8995897957,-87.6747191345,648.0,Saturday,1,Night,0.018333333333333333,0.05693867487669947,081402,5942.0,2734.0,0.4601144395826321,0.140356782228206,35.3,4344.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1001846,46c0251bbd1425a6ea436c763823a7f6ff2677c3,2021-01-23,2021-01-23 00:15:00,4.5,081402,242500,15.0,0.0,1.23,16.23,False,1.0,41.8919715078,-87.6129454143,41.8994457693,-87.6893191901,761.0,Saturday,1,Night,0.02128777923784494,0.05693867487669947,081402,5942.0,2734.0,0.4601144395826321,0.140356782228206,35.3,4344.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
729878,419e074619aad259c7d14bdec2a364f10859424e,2021-01-23,2021-01-23 00:15:00,3.4,081000,062200,7.5,0.0,1.23,8.73,False,1.0,41.9002656868,-87.6321092196,41.9425851797,-87.6566440918,791.0,Saturday,1,Night,0.01547408343868521,0.03849153386655996,081000,8150.0,4732.0,0.5806134969325153,0.00015423312883435582,29.3,6158.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1916776,57fbe9a6bcca2cc8894defe68473e6a58248a7cb,2021-01-23,2021-01-23 00:00:00,1.4,081000,081600,5.0,0.0,4.23,9.23,False,1.0,41.9002656868,-87.6321092196,41.8920726347,-87.6288741572,388.0,Saturday,1,Night,0.012989690721649483,0.03849153386655996,081000,8150.0,4732.0,0.5806134969325153,0.00015423312883435582,29.3,6158.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
965796,4611f9c3224d466f319618d4025e956d400f1ff6,2021-01-23,2021-01-23 00:00:00,0.8,070700,832500,5.0,0.0,3.1,8.1,False,1.0,41.9292725315,-87.6738072384,41.9218774613,-87.6640782395,192.0,Saturday,1,Night,0.015,0.02345386828613482,070700,3741.0,1816.9999999999998,0.4856990109596364,0.09061748195669607,33.1,2241.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
